dapa_no,place,type,period,held_at,digitised
137,Barban,MKR,1629/1694,ŽU Barban,yes
138,Barban,MKR,1636-1636,ŽU Barban,yes
139,Barban,MKR,1639-1685,ŽU Barban,yes
140,Barban,MKR,1690-1693,ŽU Barban,yes
141,Barban,MKR,1691-1714,ŽU Barban,yes
142,Barban,MKR,1716-1750,DAPA,no
143,Barban,MKR,1750-1781,DAPA,no
144,Barban,MKR,1775-1791,ŽU Barban,yes
145,Barban,MKR,1781-1816,DAPA,no
146,Barban,MKR,1806-1816,ŽU Barban,yes
147,Barban,MKR,1816-1831,DAPA,no
148,Barban,MKR,1816-1835,DAPA,no
149,Barban,MKR,1831-1840,DAPA,no
150,Barban,MKR,1835-1842,DAPA,no
151,Barban,MKR,1841-1860,DAPA,no
152,Barban,MKR,1842-1853,DAPA,no
153,Barban,MKR,1853-1888,ŽU Barban,yes
154,Barban,MKR,1860-1891,DAPA,no
155,Barban,MKR,1891-1922,BA Poreč,yes
156,Barban,MKR,1923-1940,ŽU Barban,yes
157,Barban,MKR,1923,MU Pula - MP Barban,yes
158,Barban,MKR,1924,MU Pula - MP Barban,yes
159,Barban,MKR,1924,MU Pula - MP Barban,yes
160,Barban,MKR,1925,MU Pula - MP Barban,yes
161,Barban,MKR,1926,MU Pula - MP Barban,yes
162,Barban,MKR,1927,MU Pula - MP Barban,yes
163,Barban,MKR,1928,MU Pula - MP Barban,yes
164,Barban,MKR,1929,MU Pula - MP Barban,yes
165,Barban,MKR,1930,MU Pula - MP Barban,yes
166,Barban,MKR,1931,MU Pula - MP Barban,yes
167,Barban,MKR,1932,MU Pula - MP Barban,yes
168,Barban,MKR,1933,MU Pula - MP Barban,yes
169,Barban,MKR,1934,MU Pula - MP Barban,yes
170,Barban,MKR,1935,MU Pula - MP Barban,yes
171,Barban,MKR,1936,MU Pula - MP Barban,yes
172,Barban,MKR,1937,MU Pula - MP Barban,yes
173,Barban,MKR,1938,MU Pula - MP Barban,yes
174,Barban,MKR,1939,MU Pula - MP Barban,yes
175,Barban,MKR,1940,MU Pula - MP Barban,yes
176,Barban,MKR,1940-1999,ŽU Barban,yes
177,Barban,MKR,1941,MU Pula - MP Barban,yes
178,Barban,MKR,1942,MU Pula - MP Barban,yes
179,Barban,MKR,1943-1946,MU Pula - MP Barban,yes
180,Barban,MKR,1947-1958,MU Pula - MP Barban,yes
181,Barban,MKR,1959-1979,MU Pula - MP Barban,yes
182,Barban,MKV,1669-1689,ŽU Barban,yes
183,Barban,MKV,1692-1694,ŽU Barban,yes
184,Barban,MKV,1695-1749,ŽU Barban,yes
185,Barban,MKV,1722-1727,ŽU Barban,yes
186,Barban,MKV,1753-1826,ŽU Barban,yes
187,Barban,MKV,1793-1799,ŽU Barban,yes
188,Barban,MKV,1815-1821,DAPA,no
189,Barban,MKV,1821-1840,DAPA,no
190,Barban,MKV,1826-1842,DAPA,no
191,Barban,MKV,1841-1860,DAPA,no
192,Barban,MKV,1843-1868,DAPA,no
193,Barban,MKV,1860-1920,BA Poreč,yes
194,Barban,MKV,1868-1887,DAPA,no
195,Barban,MKV,1920-1948,ŽU Barban,yes
196,Barban,MKV,1924,MU Pula - MP Barban,yes
197,Barban,MKV,1925,MU Pula - MP Barban,yes
198,Barban,MKV,1926,MU Pula - MP Barban,yes
199,Barban,MKV,1927,MU Pula - MP Barban,yes
200,Barban,MKV,1928,MU Pula - MP Barban,yes
201,Barban,MKV,1929,MU Pula - MP Barban,yes
202,Barban,MKV,1930,MU Pula - MP Barban,yes
203,Barban,MKV,1931,MU Pula - MP Barban,yes
204,Barban,MKV,1932,MU Pula - MP Barban,yes
205,Barban,MKV,1933,MU Pula - MP Barban,yes
206,Barban,MKV,1934,MU Pula - MP Barban,yes
207,Barban,MKV,1935,MU Pula - MP Barban,yes
208,Barban,MKV,1936,MU Pula - MP Barban,yes
209,Barban,MKV,1937,MU Pula - MP Barban,yes
210,Barban,MKV,1938,MU Pula - MP Barban,yes
211,Barban,MKV,1939,MU Pula - MP Barban,yes
212,Barban,MKV,1940,MU Pula - MP Barban,yes
213,Barban,MKV,1941,MU Pula - MP Barban,yes
214,Barban,MKV,1942,MU Pula - MP Barban,yes
215,Barban,MKV,1943-1946,MU Pula - MP Barban,yes
216,Barban,MKV,1947-1958,MU Pula - MP Barban,yes
217,Barban,MKV,1949-1959,ŽU Barban,no
218,Barban,MKV,1959-1979,MU Pula,yes
219,Barban,MKU,1691-1695,ŽU Barban,yes
220,Barban,MKU,1696-1714,ŽU Barban,yes
221,Barban,MKU,1717-1751,DAPA,no
222,Barban,MKU,1751/1815,DAPA,no
223,Barban,MKU,1778-1786,ŽU Barban,yes
224,Barban,MKU,1786-1827,ŽU Barban,yes
225,Barban,MKU,1815-1821,DAPA,no
226,Barban,MKU,1821-1841,DAPA,no
227,Barban,MKU,1828-1843,ŽU Barban,yes
228,Barban,MKU,1841-1860,DAPA,no
229,Barban,MKU,1843-1879,ŽU Barban,yes
230,Barban,MKU,1860-1916,BA Poreč,yes
231,Barban,MKU,1917-1949,ŽU Barban,yes
232,Barban,MKU,1924,MU Pula - MP Barban,yes
233,Barban,MKU,1925,MU Pula - MP Barban,yes
234,Barban,MKU,1926,MU Pula - MP Barban,yes
235,Barban,MKU,1927,MU Pula - MP Barban,yes
236,Barban,MKU,1928,MU Pula - MP Barban,yes
237,Barban,MKU,1929,MU Pula - MP Barban,yes
238,Barban,MKU,1930,MU Pula - MP Barban,yes
239,Barban,MKU,1931,MU Pula - MP Barban,yes
240,Barban,MKU,1932,MU Pula - MP Barban,yes
241,Barban,MKU,1933,MU Pula - MP Barban,yes
242,Barban,MKU,1934,MU Pula - MP Barban,yes
243,Barban,MKU,1935,MU Pula - MP Barban,yes
244,Barban,MKU,1936,MU Pula - MP Barban,yes
245,Barban,MKU,1937,MU Pula - MP Barban,yes
246,Barban,MKU,1938,MU Pula - MP Barban,yes
247,Barban,MKU,1939,MU Pula - MP Barban,yes
248,Barban,MKU,1940,MU Pula - MP Barban,yes
249,Barban,MKU,1941,MU Pula - MP Barban,yes
250,Barban,MKU,1942,MU Pula - MP Barban,yes
251,Barban,MKU,1943-1946,MU Pula - MP Barban,yes
252,Barban,MKU,1947-1958,MU Pula - MP Barban,yes
253,Barban,MKU,1949-1976,ŽU Barban,no
254,Barban,MKU,1959-1979,MU Pula,yes
255,Barban,SD,1799,ŽU Barban,yes
256,Barban,SD,1815,ŽU Barban,yes
257,Barban,SD,1825,ŽU Barban,yes
258,Barban,SD,1825,ŽU Barban,yes
259,Barban,SD,1882,ŽU Barban,yes
871,Cerovlje,MKR,1710-1789,ŽU Cerovlje,yes
872,Cerovlje,MKR,1783-1847,ŽU Cerovlje,yes
873,Cerovlje,MKR,1871-1933,BA Poreč,yes
874,Cerovlje,MKR,1933-1948,BA Poreč,yes
875,Cerovlje,MKR,1934-,ŽU Cerovlje,no
876,Cerovlje,MKR,1947-1951,MU Pazin,yes
877,Cerovlje,MKR,1951-1952,MU Pazin,yes
878,Cerovlje,MKR,1953-1958,MU Pazin,yes
879,Cerovlje,MKR,1959-1993,MU Pazin,yes
880,Cerovlje,MKV,1872-1948,BA Poreč,yes
881,Cerovlje,MKV,1940-,ŽU Cerovlje,no
882,Cerovlje,MKV,1947-1951,MU Pazin,yes
883,Cerovlje,MKV,1951-1952,MU Pazin,yes
884,Cerovlje,MKV,1953-1958,MU Pazin,yes
885,Cerovlje,MKV,1959-1983,MU Pazin,yes
886,Cerovlje,MKU,1784-1847,ŽU Cerovlje,yes
887,Cerovlje,MKU,1872-1948,BA Poreč,yes
888,Cerovlje,MKU,1940-,ŽU Cerovlje,no
889,Cerovlje,MKU,1947-1952,MU Pazin,yes
890,Cerovlje,MKU,1953-1958,MU Pazin,yes
891,Cerovlje,MKU,1959-1993,MU Pazin,yes
892,Cerovlje,SD,XVIII-XIX. st.,ŽU Cerovlje,yes
893,Cerovlje,SD,XIX-XX. st.,ŽU Cerovlje,yes
894,Cerovlje,SD,XIX-XX. st.,ŽU Cerovlje,yes
899,Čepić,MKR,1782-1861,ŽU Kršan,yes
900,Čepić,MKR,1861-1898,DAPA,no
901,Čepić,MKR,1899-1933,BA Poreč,yes
902,Čepić,MKR,1934-1946,BA Poreč,yes
903,Čepić,MKR,1934-2000,ŽU Kršan,yes
904,Čepić,MKR,1947-1949,MU Potpićan,yes
905,Čepić,MKR,1947-1952,MU Potpićan,yes
906,Čepić,MKR,1959-1962.1963-1993,MU Potpićan,yes
907,Čepić,MKV,1782-1861,ŽU Kršan,yes
908,Čepić,MKV,1861-1898,DAPA,no
909,Čepić,MKV,1898-1948,BA Poreč,yes
910,Čepić,MKV,1933-1944,ŽU Ćepić,yes
911,Čepić,MKV,1945-2003,ŽU Ćepić,yes
912,Čepić,MKV,1947-1952,MU Potpićan,yes
913,Čepić,MKV,1959-1962.1963-1993,MU Potpićan,yes
914,Čepić,MKU,1782-1861,ŽU Kršan,yes
915,Čepić,MKU,1861-1898,DAPA,no
916,Čepić,MKU,1899-1948,BA Poreč,yes
917,Čepić,MKU,1943-1945,MU Potpićan,yes
918,Čepić,MKU,1947-1952,MU Potpićan,yes
919,Čepić,MKU,1949-,ŽU Ćepić,no
920,Čepić,MKU,1959-1962.1963-1993,MU Potpićan,yes
921,Čepić,SD,XVIII-XIX. st.,ŽU Kršan,yes
922,Čepić,SD,XIX-XX. st.,ŽU Kršan,yes
923,Čepić,SD,XX. st.,ŽU Kršan,yes
1162,Gologorica,MKR,1644-1674.1691-1763,ŽU Gologorica,no
1163,Gologorica,MKR,1764-1788,ŽU Gologorica,yes
1164,Gologorica,MKR,1770-1781,ŽU Gologorica,yes
1165,Gologorica,MKR,1784-1880,ŽU Gologorica,yes
1166,Gologorica,MKR,1880-1948,BA Poreč,yes
1167,Gologorica,MKR,1940-1948,ŽU Gologorica,yes
1168,Gologorica,MKR,1945-,ŽU Gologorica,no
1169,Gologorica,MKV,1656-1781,ŽU Gologorica,no
1170,Gologorica,MKV,1770-1789,ŽU Gologorica,yes
1171,Gologorica,MKV,1784-1879,ŽU Gologorica,yes
1172,Gologorica,MKV,1880-1948,BA Poreč,yes
1173,Gologorica,MKV,1945-1966,ŽU Gologorica,no
1174,Gologorica,MKU,1646-1777,ŽU Gologorica,no
1175,Gologorica,MKU,1646-1806,ŽU Gologorica,yes
1176,Gologorica,MKU,1770-1789,ŽU Gologorica,yes
1177,Gologorica,MKU,1784-1879,ŽU Gologorica,yes
1178,Gologorica,MKU,1880-1948,BA Poreč,yes
1179,Gologorica,MKU,1945-1966,ŽU Gologorica,no
1180,Gologorica,SD,1826,ŽU Gologorica,yes
1181,Gologorica,SD,1862,ŽU Gologorica,yes
1182,Gologorica,SD,1894-1894,ŽU Gologorica,yes
1183,Gologorica,SD,1921,ŽU Gologorica,yes
1184,Gračišće,MKR,1667-1745,ŽU Gračišće,yes
1185,Gračišće,MKR,1746-1841,ŽU Gračišće,yes
1186,Gračišće,MKR,1785-1851,ŽU Gračišće,yes
1187,Gračišće,MKR,1841-1899,DAPA,yes
1188,Gračišće,MKR,1900-1923,BA Poreč,yes
1189,Gračišće,MKR,1912-1948,MU Pazin,yes
1190,Gračišće,MKR,1926-1937,ŽU Gračišće,yes
1191,Gračišće,MKR,1926-1977,ŽU Gračišće,yes
1192,Gračišće,MKR,1947-1952,MU Pazin,yes
1193,Gračišće,MKR,1959-1988,MU Pazin,yes
1194,Gračišće,MKV,1671-1835,ŽU Gračišće,yes
1195,Gračišće,MKV,1785-1850,ŽU Gračišće,yes
1196,Gračišće,MKV,1836-1876,ŽU Gračišće,yes
1197,Gračišće,MKV,1877-1911,DAPA,yes
1198,Gračišće,MKV,1912-1948,BA Poreč,no
1199,Gračišće,MKV,1930-1952,ŽU Gračišće,yes
1200,Gračišće,MKV,1947-1952,MU Pazin,yes
1201,Gračišće,MKV,1959-1988,MU Pazin,yes
1202,Gračišće,MKU,1775-1840,ŽU Gračišće,yes
1203,Gračišće,MKU,1785-1850,ŽU Gračišće,yes
1204,Gračišće,MKU,1841-1936,BA Poreč,yes
1205,Gračišće,MKU,1936-2004,ŽU Gračišće,yes
1206,Gračišće,MKU,1947-1952,MU Pazin,yes
1207,Gračišće,MKU,1959-1988,MU Pazin,yes
1208,Gračišće,SD,1775,ŽU Gračišće,yes
1209,Gračišće,SD,1825,ŽU Gračišće,yes
1210,Gračišće,SD,1841,ŽU Gračišće,yes
1211,Gračišće,SD,1865,ŽU Gračišće,yes
1212,Gračišće,SD,1870,ŽU Gračišće,yes
1213,Gračišće,SD,1881,ŽU Gračišće,yes
1214,Gračišće,SD,1897,ŽU Gračišće,yes
1215,Gračišće,SD,1925,ŽU Gračišće,yes
2196,Ližnjan,MKR,1683-1745,ŽU Ližnjan,yes
2197,Ližnjan,MKR,1816-1864,DAPA,no
2198,Ližnjan,MKR,1864-1883,DAPA,no
2199,Ližnjan,MKR,1884-1948,BA Poreč,yes
2200,Ližnjan,MKR,1946-1952,MU Pula,yes
2201,Ližnjan,MKR,1949-1992,ŽU Ližnjan,no
2202,Ližnjan,MKR,1959-1993,MU Pula,yes
2203,Ližnjan,MKV,1680-1812,ŽU Ližnjan,yes
2204,Ližnjan,MKV,1812-1829,ŽU Ližnjan,yes
2205,Ližnjan,MKV,1815-1902,DAPA,no
2206,Ližnjan,MKV,1902-1944,BA Poreč,no
2207,Ližnjan,MKV,1947-1952,MU Pula,no
2208,Ližnjan,MKV,1948-,ŽU Ližnjan,no
2209,Ližnjan,MKU,1682-1733,ŽU Ližnjan,yes
2210,Ližnjan,MKU,1733-1812,ŽU Ližnjan,yes
2211,Ližnjan,MKU,1815-1900,DAPA,no
2212,Ližnjan,MKU,1901-1948,BA Poreč,yes
2213,Ližnjan,MKU,1927-1936,ŽU Ližnjan,yes
2214,Ližnjan,MKU,1947-1952,MU Pula,yes
2215,Ližnjan,MKU,1949-,ŽU Ližnjan,no
2216,Ližnjan,MKU,1959-1993,MU Pula,yes
2217,Ližnjan,SD,XVIII-XIX. st.,ŽU Ližnjan,yes
2218,Ližnjan,SD,XVIII-XIX. st.,ŽU Ližnjan,no
2219,Ližnjan,SD,XVIII-XX. st.,ŽU Ližnjan,yes
2503,Motovun / Montona,MKR,1586-1644,ŽU Motovun,yes
2504,Motovun / Montona,MKR,1645-1736,ŽU Motovun,yes
2505,Motovun / Montona,MKR,1737-1815,ŽU Motovun,yes
2506,Motovun / Montona,MKR,1815-1834,ŽU Motovun,yes
2507,Motovun / Montona,MKR,1835-1865,ŽU Motovun,yes
2508,Motovun / Montona,MKR,1860-1869,DAPA,yes
2509,Motovun / Montona,MKR,1866-1915,ŽU Motovun,yes
2510,Motovun / Montona,MKR,1869-1880,DAPA,yes
2511,Motovun / Montona,MKR,1881-1899,DAPA,yes
2512,Motovun / Montona,MKR,1900-1915,MU Pazin,yes
2513,Motovun / Montona,MKR,1915-1940,ŽU Motovun,yes
2514,Motovun / Montona,MKR,1916-1923,MU Pazin,yes
2515,Motovun / Montona,MKR,1924,MU Pazin,yes
2516,Motovun / Montona,MKR,1925,MU Pazin,yes
2517,Motovun / Montona,MKR,1926,MU Pazin,yes
2518,Motovun / Montona,MKR,1927,MU Pazin,yes
2519,Motovun / Montona,MKR,1928,MU Pazin,yes
2520,Motovun / Montona,MKR,1929,MU Pazin,yes
2521,Motovun / Montona,MKR,1930,MU Pazin,yes
2522,Motovun / Montona,MKR,1931,MU Pazin,yes
2523,Motovun / Montona,MKR,1932,MU Pazin,yes
2524,Motovun / Montona,MKR,1933,MU Pazin,yes
2525,Motovun / Montona,MKR,1934,MU Pazin,yes
2526,Motovun / Montona,MKR,1935,MU Pazin,yes
2527,Motovun / Montona,MKR,1936,MU Pazin,yes
2528,Motovun / Montona,MKR,1937,MU Pazin,yes
2529,Motovun / Montona,MKR,1938,MU Pazin,yes
2530,Motovun / Montona,MKR,1939,MU Pazin,yes
2531,Motovun / Montona,MKR,1940,MU Pazin,yes
2532,Motovun / Montona,MKR,1940-1964,ŽU Motovun,yes
2533,Motovun / Montona,MKR,1941,MU Pazin,yes
2534,Motovun / Montona,MKR,1942,MU Pazin,yes
2535,Motovun / Montona,MKR,1943,MU Pazin,yes
2536,Motovun / Montona,MKR,1944,MU Pazin,yes
2537,Motovun / Montona,MKR,1945,MU Pazin,yes
2538,Motovun / Montona,MKR,1946-1947,MU Pazin,yes
2539,Motovun / Montona,MKR,1947-1949,MU Pazin,yes
2540,Motovun / Montona,MKR,1949-1952,MU Pazin,yes
2541,Motovun / Montona,MKR,1952,MU Pazin,yes
2542,Motovun / Montona,MKR,1953-1958,MU Pazin,yes
2543,Motovun / Montona,MKR,1959-1993,MU Pazin,yes
2544,Motovun / Montona,MKV,1630-1713,ŽU Motovun,yes
2545,Motovun / Montona,MKV,1712-1742,ŽU Motovun,yes
2546,Motovun / Montona,MKV,1743-1815,ŽU Motovun,yes
2547,Motovun / Montona,MKV,1815-1820,ŽU Motovun,yes
2548,Motovun / Montona,MKV,1821-1834,ŽU Motovun,yes
2549,Motovun / Montona,MKV,1835-1865,ŽU Motovun,yes
2550,Motovun / Montona,MKV,1866-1920,BA Poreč,yes
2551,Motovun / Montona,MKV,1920-1948,BA Poreč,yes
2552,Motovun / Montona,MKV,1924,MU Pazin,yes
2553,Motovun / Montona,MKV,1925,MU Pazin,yes
2554,Motovun / Montona,MKV,1926,MU Pazin,yes
2555,Motovun / Montona,MKV,1927,MU Pazin,yes
2556,Motovun / Montona,MKV,1928,MU Pazin,yes
2557,Motovun / Montona,MKV,1929,MU Pazin,yes
2558,Motovun / Montona,MKV,1929,MU Pazin,yes
2559,Motovun / Montona,MKV,1930,MU Pazin,yes
2560,Motovun / Montona,MKV,1930,MU Pazin,yes
2561,Motovun / Montona,MKV,1931,MU Pazin,yes
2562,Motovun / Montona,MKV,1932,MU Pazin,yes
2563,Motovun / Montona,MKV,1933,MU Pazin,yes
2564,Motovun / Montona,MKV,1934,MU Pazin,yes
2565,Motovun / Montona,MKV,1935,MU Pazin,yes
2566,Motovun / Montona,MKV,1936,MU Pazin,yes
2567,Motovun / Montona,MKV,1937,MU Pazin,yes
2568,Motovun / Montona,MKV,1938,MU Pazin,yes
2569,Motovun / Montona,MKV,1939,MU Pazin,yes
2570,Motovun / Montona,MKV,1940,MU Pazin,yes
2571,Motovun / Montona,MKV,1941,MU Pazin,yes
2572,Motovun / Montona,MKV,1942,MU Pazin,yes
2573,Motovun / Montona,MKV,1943,MU Pazin,yes
2574,Motovun / Montona,MKV,1944,MU Pazin,yes
2575,Motovun / Montona,MKV,1945,MU Pazin,yes
2576,Motovun / Montona,MKV,1945-1947,MU Pazin,yes
2577,Motovun / Montona,MKV,1947-1949,MU Pazin,yes
2578,Motovun / Montona,MKV,1950-1952,MU Pazin,yes
2579,Motovun / Montona,MKV,1953-1958,MU Pazin,yes
2580,Motovun / Montona,MKV,1959-1987,MU Pazin,yes
2581,Motovun / Montona,MKU,1630-1759,ŽU Motovun,yes
2582,Motovun / Montona,MKU,1714-1732,ŽU Motovun,yes
2583,Motovun / Montona,MKU,1737-1815,ŽU Motovun,yes
2584,Motovun / Montona,MKU,1815-1834,ŽU Motovun,yes
2585,Motovun / Montona,MKU,1835-1865,ŽU Motovun,yes
2586,Motovun / Montona,MKU,1866-1912,DAPA,yes
2587,Motovun / Montona,MKU,1912-1941,BA Poreč,yes
2588,Motovun / Montona,MKU,1924,MU Pazin,yes
2589,Motovun / Montona,MKU,1925,MU Pazin,yes
2590,Motovun / Montona,MKU,1926,MU Pazin,yes
2591,Motovun / Montona,MKU,1927,MU Pazin,yes
2592,Motovun / Montona,MKU,1928,MU Pazin,yes
2593,Motovun / Montona,MKU,1929,MU Pazin,yes
2594,Motovun / Montona,MKU,1930,MU Pazin,yes
2595,Motovun / Montona,MKU,1931,MU Pazin,yes
2596,Motovun / Montona,MKU,1932,MU Pazin,yes
2597,Motovun / Montona,MKU,1933,MU Pazin,yes
2598,Motovun / Montona,MKU,1934,MU Pazin,yes
2599,Motovun / Montona,MKU,1935,MU Pazin,yes
2600,Motovun / Montona,MKU,1936,MU Pazin,yes
2601,Motovun / Montona,MKU,1937,MU Pazin,yes
2602,Motovun / Montona,MKU,1938,MU Pazin,yes
2603,Motovun / Montona,MKU,1939,MU Pazin,yes
2604,Motovun / Montona,MKU,1940,MU Pazin,yes
2605,Motovun / Montona,MKU,1941,MU Pazin,yes
2606,Motovun / Montona,MKU,1941,MU Pazin,yes
2607,Motovun / Montona,MKU,1941-1949,ŽU Motovun,yes
2608,Motovun / Montona,MKU,1942,MU Pazin,yes
2609,Motovun / Montona,MKU,1943,MU Pazin,yes
2610,Motovun / Montona,MKU,1944,MU Pazin,yes
2611,Motovun / Montona,MKU,1945,MU Pazin,yes
2612,Motovun / Montona,MKU,1946,MU Pazin,yes
2613,Motovun / Montona,MKU,1947-1952,MU Pazin,yes
2614,Motovun / Montona,MKU,1949-,ŽU Motovun,no
2615,Motovun / Montona,MKU,1952,MU Pazin,yes
2616,Motovun / Montona,MKU,1953-1958,MU Pazin,yes
2617,Motovun / Montona,MKU,1959-1988,MU Pazin,yes
2618,Motovun / Montona,SD,XVIII-XIX. st.,ŽU Motovun,yes
2619,Motovun / Montona,SD,XIX. st.,ŽU Motovun,yes
2620,Motovun / Montona,SD,XIX. st.,ŽU Motovun,yes
2621,Motovun / Montona,SD,XIX-XX. st.,ŽU Motovun,yes
2622,Motovun / Montona,SD,XIX-XX. st.,ŽU Motovun,yes
2623,Motovun / Montona,SD,XIX-XX. st.,ŽU Motovun,yes
2624,Motovun / Montona,SD,1911,ŽU Motovun,yes
3013,Pazin,MKR,1582-1624,DAPA,yes
3014,Pazin,MKR,1643-1655,DAPA,no
3015,Pazin,MKR,1655-1689,DAPA,no
3016,Pazin,MKR,1689-1734,DAPA,no
3017,Pazin,MKR,1735-1783,DAPA,no
3018,Pazin,MKR,1784-1812,DAPA,no
3019,Pazin,MKR,1812-1847,DAPA,no
3020,Pazin,MKR,1847-1882,DAPA,no
3021,Pazin,MKR,1883-1907,DAPA,yes
3022,Pazin,MKR,1908-1915,BA Poreč,yes
3023,Pazin,MKR,1916-1933,BA Poreč,yes
3024,Pazin,MKR,1924,MU Pazin,yes
3025,Pazin,MKR,1925,MU Pazin,yes
3026,Pazin,MKR,1926,MU Pazin,yes
3027,Pazin,MKR,1927,MU Pazin,yes
3028,Pazin,MKR,1928,MU Pazin,yes
3029,Pazin,MKR,1929,MU Pazin,yes
3030,Pazin,MKR,1930,MU Pazin,yes
3031,Pazin,MKR,1931,MU Pazin,yes
3032,Pazin,MKR,1932,MU Pazin,yes
3033,Pazin,MKR,1933,MU Pazin,yes
3034,Pazin,MKR,1934,MU Pazin,yes
3035,Pazin,MKR,1934-1958,ŽU Pazin,no
3036,Pazin,MKR,1935,MU Pazin,yes
3037,Pazin,MKR,1936,MU Pazin,yes
3038,Pazin,MKR,1937,MU Pazin,yes
3039,Pazin,MKR,1938,MU Pazin,yes
3040,Pazin,MKR,1939,MU Pazin,yes
3041,Pazin,MKR,1940,MU Pazin,yes
3042,Pazin,MKR,1941,MU Pazin,yes
3043,Pazin,MKR,1942,MU Pazin,yes
3044,Pazin,MKR,1943,MU Pazin,yes
3045,Pazin,MKR,1944,MU Pazin,yes
3046,Pazin,MKR,1945,MU Pazin,yes
3047,Pazin,MKR,1946,MU Pazin,yes
3048,Pazin,MKR,1947,MU Pazin,yes
3049,Pazin,MKR,1951-1952,MU Pazin,yes
3050,Pazin,MKR,1953-1954,MU Pazin,yes
3051,Pazin,MKR,1955-1956,MU Pazin,yes
3052,Pazin,MKR,1957-1958,MU Pazin,yes
3053,Pazin,MKR,1959-1962,MU Pazin,yes
3054,Pazin,MKR,1962-1966,MU Pazin,yes
3055,Pazin,MKR,1962-1966,MU Pazin,yes
3056,Pazin,MKV,1597-1635,DAPA,no
3057,Pazin,MKV,1656-1742,DAPA,no
3058,Pazin,MKV,1743-1812,DAPA,no
3059,Pazin,MKV,1812-1847,DAPA,no
3060,Pazin,MKV,1847-1912,BA Poreč,yes
3061,Pazin,MKV,1913-1921,BA Poreč,yes
3062,Pazin,MKV,1921-1946,BA Poreč,yes
3063,Pazin,MKV,1924,MU Pazin,yes
3064,Pazin,MKV,1925,MU Pazin,yes
3065,Pazin,MKV,1926,MU Pazin,yes
3066,Pazin,MKV,1926,MU Pazin,yes
3067,Pazin,MKV,1927,MU Pazin,yes
3068,Pazin,MKV,1928,MU Pazin,yes
3069,Pazin,MKV,1929,MU Pazin,yes
3070,Pazin,MKV,1929,MU Pazin,yes
3071,Pazin,MKV,1929-1934,ŽU Pazin,no
3072,Pazin,MKV,1930,MU Pazin,yes
3073,Pazin,MKV,1931,MU Pazin,yes
3074,Pazin,MKV,1932,MU Pazin,yes
3075,Pazin,MKV,1933,MU Pazin,yes
3076,Pazin,MKV,1934,MU Pazin,yes
3077,Pazin,MKV,1935,MU Pazin,yes
3078,Pazin,MKV,1935-1939,ŽU Pazin,no
3079,Pazin,MKV,1936,MU Pazin,yes
3080,Pazin,MKV,1937,MU Pazin,yes
3081,Pazin,MKV,1938,MU Pazin,yes
3082,Pazin,MKV,1939,MU Pazin,yes
3083,Pazin,MKV,1940,MU Pazin,yes
3084,Pazin,MKV,1941,MU Pazin,yes
3085,Pazin,MKV,1942,MU Pazin,yes
3086,Pazin,MKV,1943,MU Pazin,yes
3087,Pazin,MKV,1944,MU Pazin,yes
3088,Pazin,MKV,1945,MU Pazin,yes
3089,Pazin,MKV,1946,MU Pazin,yes
3090,Pazin,MKV,1946,MU Pazin,yes
3091,Pazin,MKV,1947,MU Pazin,yes
3092,Pazin,MKV,1949-1962,ŽU Pazin,no
3093,Pazin,MKV,1951-1952,MU Pazin,yes
3094,Pazin,MKV,1953-1954,MU Pazin,yes
3095,Pazin,MKV,1953-1954,MU Pazin,yes
3096,Pazin,MKV,1955-1956,MU Pazin,yes
3097,Pazin,MKV,1957-1958,MU Pazin,yes
3098,Pazin,MKV,1959-1964,MU Pazin,yes
3099,Pazin,MKU,1655-1715,DAPA,no
3100,Pazin,MKU,1716-1776,DAPA,no
3101,Pazin,MKU,1777-1812,DAPA,no
3102,Pazin,MKU,1812-1847,DAPA,no
3103,Pazin,MKU,1847-1909,DAPA,yes
3104,Pazin,MKU,1910-1941,BA Poreč,yes
3105,Pazin,MKU,1924,MU Pazin,yes
3106,Pazin,MKU,1925,MU Pazin,yes
3107,Pazin,MKU,1926,MU Pazin,yes
3108,Pazin,MKU,1927,MU Pazin,yes
3109,Pazin,MKU,1928,MU Pazin,yes
3110,Pazin,MKU,1929,MU Pazin,yes
3111,Pazin,MKU,1930,MU Pazin,yes
3112,Pazin,MKU,1931,MU Pazin,yes
3113,Pazin,MKU,1932,MU Pazin,yes
3114,Pazin,MKU,1933,MU Pazin,yes
3115,Pazin,MKU,1934,MU Pazin,yes
3116,Pazin,MKU,1935,MU Pazin,yes
3117,Pazin,MKU,1936,MU Pazin,yes
3118,Pazin,MKU,1937,MU Pazin,yes
3119,Pazin,MKU,1938,MU Pazin,yes
3120,Pazin,MKU,1939,MU Pazin,yes
3121,Pazin,MKU,1939,MU Pazin,yes
3122,Pazin,MKU,1940,MU Pazin,yes
3123,Pazin,MKU,1941,MU Pazin,yes
3124,Pazin,MKU,1942,MU Pazin,yes
3125,Pazin,MKU,1942-1985,ŽU Pazin,yes
3126,Pazin,MKU,1943,MU Pazin,yes
3127,Pazin,MKU,1943,MU Pazin,yes
3128,Pazin,MKU,1944,MU Pazin,yes
3129,Pazin,MKU,1944,MU Pazin,yes
3130,Pazin,MKU,1945,MU Pazin,yes
3131,Pazin,MKU,1946-1947,MU Pazin,yes
3132,Pazin,MKU,1951-1952,MU Pazin,yes
